Year,Discipline,Sex,Age Group,SK Racers,Average Points,Total Points,List Name,Publication Date,List ID
2020,Distance,Men,MM1,1,75.05,75.05,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Men,MM2,1,67.83,67.83,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Men,MM3,1,43.83,43.83,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Men,MM4,0,0.0,0,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Men,MM5,0,0.0,0,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Men,MM7,0,0.0,0,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Men,MM8,0,0.0,0,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Men,SM,6,66.63,399.79,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Men,U14,0,0.0,0,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Men,U16,0,0.0,0,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Men,U18,0,0.0,0,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Men,U20,2,40.77,81.54,2020 Final CPL Distance,2020-04-01,1487
2020,Distance,Women,MW1,0,0.0,0,2020 Final CPL Distance,2020-04-01,1488
2020,Distance,Women,MW5,1,59.09,59.09,2020 Final CPL Distance,2020-04-01,1488
2020,Distance,Women,MW9,0,0.0,0,2020 Final CPL Distance,2020-04-01,1488
2020,Distance,Women,SW,4,48.76,195.03,2020 Final CPL Distance,2020-04-01,1488
2020,Distance,Women,U12,0,0.0,0,2020 Final CPL Distance,2020-04-01,1488
2020,Distance,Women,U14,0,0.0,0,2020 Final CPL Distance,2020-04-01,1488
2020,Distance,Women,U16,0,0.0,0,2020 Final CPL Distance,2020-04-01,1488
2020,Distance,Women,U18,0,0.0,0,2020 Final CPL Distance,2020-04-01,1488
2020,Distance,Women,U20,3,41.85,125.54,2020 Final CPL Distance,2020-04-01,1488
2020,Sprint,Men,MM1,1,65.72,65.72,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Men,MM2,1,63.99,63.99,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Men,MM3,1,52.86,52.86,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Men,MM4,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Men,MM5,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Men,MM7,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Men,MM8,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Men,SM,5,65.57,327.85,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Men,U14,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Men,U16,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Men,U18,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Men,U20,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1489
2020,Sprint,Women,MW1,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1490
2020,Sprint,Women,MW5,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1490
2020,Sprint,Women,MW9,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1490
2020,Sprint,Women,SW,2,49.34,98.69,2020 Final CPL Sprint,2020-04-01,1490
2020,Sprint,Women,U12,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1490
2020,Sprint,Women,U14,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1490
2020,Sprint,Women,U16,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1490
2020,Sprint,Women,U18,0,0.0,0,2020 Final CPL Sprint,2020-04-01,1490
2020,Sprint,Women,U20,2,53.09,106.17,2020 Final CPL Sprint,2020-04-01,1490
2021,Distance,Men,MM1,0,0.0,0,Final CPL Di 20-21 D2,2021-04-18,1538
2021,Distance,Men,MM2,0,0.0,0,Final CPL Di 20-21 D2,2021-04-18,1538
2021,Distance,Men,MM3,0,0.0,0,Final CPL Di 20-21 D2,2021-04-18,1538
2021,Distance,Men,MM4,0,0.0,0,Final CPL Di 20-21 D2,2021-04-18,1538
2021,Distance,Men,MM5,0,0.0,0,Final CPL Di 20-21 D2,2021-04-18,1538
2021,Distance,Men,MM7,0,0.0,0,Final CPL Di 20-21 D2,2021-04-18,1538
