Year,Discipline,Gender,List Name,Publication Date,List ID,SK Racers,SK Total Points,SK Average Points
2020,Distance,Men,2020 Final CPL Distance,2020-04-01,1487,11,668.04,60.73
2020,Distance,Women,2020 Final CPL Distance,2020-04-01,1488,8,379.66,47.46
2020,Sprint,Men,2020 Final CPL Sprint,2020-04-01,1489,8,510.42,63.8
2020,Sprint,Women,2020 Final CPL Sprint,2020-04-01,1490,4,204.86,51.22
2021,Distance,Men,Final CPL Di 20-21 D2,2021-04-18,1538,1,75.34,75.34
2021,Distance,Women,Final CPL Di 20-21 D2,2021-04-18,1540,2,87.13,43.56
2021,Sprint,Men,Final CPL Sp 20-21 V2,2021-04-18,1542,1,79.33,79.33
2021,Sprint,Women,Final CPL Sp 20-21 V2,2021-04-18,1543,2,106.17,53.09
2022,Distance,Men,5th CPL Distance 2022,2022-04-08,1622,16,877.82,54.86
2022,Distance,Women,5th CPL Distance 2022,2022-04-08,1623,15,736.81,49.12
2022,Sprint,Men,5th CPL Sprint 2022,2022-04-08,1624,12,713.44,59.45
2022,Sprint,Women,5th CPL Sprint 2022,2022-04-08,1625,11,614.58,55.87
2023,Distance,Men,End of 2023 Season Final,2023-04-09,1684,24,1208.82,50.37
2023,Distance,Women,End of 2023 Season Final,2023-04-09,1685,15,809.09,53.94
2023,Sprint,Men,End of 2023 Season Sprint Final,2023-04-09,1686,26,1418.0,54.54
2023,Sprint,Women,End of 2023 Season Sprint Final,2023-04-09,1687,13,836.53,64.35
2024,Distance,Men,6th CPL Distance 2023-24,2024-04-04,1817,29,1623.61,55.99
2024,Distance,Women,6th CPL Distance 2023-24,2024-04-04,1818,19,966.3,50.86
2024,Sprint,Men,6th CPL Sprint 2023-24,2024-04-04,1819,25,1431.84,57.27
2024,Sprint,Women,6th CPL Sprint 2023-24,2024-04-04,1820,15,910.37,60.69
2025,Distance,Men,7th CPL Distance 2024-25,2025-04-04,1893,30,1859.03,61.97
2025,Distance,Women,7th CPL Distance 2024-25,2025-04-04,1894,25,1353.83,54.15
2025,Sprint,Men,7th CPL Sprint 2024-25,2025-04-04,1895,28,1819.62,64.99
2025,Sprint,Women,7th CPL Sprint 2024-25,2025-04-04,1896,27,1622.01,60.07
