Year,Age Group,Unique SK Racers
2020,MM1,1
2020,MM2,1
2020,MM3,1
2020,MW5,1
2020,SM,6
2020,SW,5
2020,U20 M,2
2020,U20 W,3
2021,SM,1
2021,U20 W,2
2022,MM3,1
2022,MM5,1
2022,MW1,1
2022,MW5,1
2022,SM,7
2022,SW,1
2022,U18 M,3
2022,U18 W,5
2022,U20 M,4
2022,U20 W,7
2023,MM3,1
2023,MM4,1
2023,MM5,1
2023,MM7,1
2023,MW5,1
2023,SM,3
2023,SW,1
2023,U14 M,3
2023,U16 M,4
2023,U16 W,3
2023,U18 M,8
2023,U18 W,6
2023,U20 M,4
2023,U20 W,4
2024,MM1,2
2024,MM2,1
2024,MM4,1
2024,MM5,1
2024,MM7,2
2024,MW5,1
2024,SM,1
2024,U14 M,5
2024,U14 W,2
2024,U16 M,4
2024,U16 W,8
2024,U18 M,8
2024,U18 W,5
2024,U20 M,4
2024,U20 W,3
2025,MM1,1
2025,MM2,2
2025,MM3,1
2025,MM4,1
2025,MM5,1
2025,MM8,1
2025,MW5,1
2025,MW9,1
2025,SM,1
2025,SW,1
2025,U12 W,1
2025,U14 M,6
2025,U14 W,7
2025,U16 M,4
2025,U16 W,8
2025,U18 M,7
2025,U18 W,6
2025,U20 M,5
2025,U20 W,3
