Year,Age Group,Unique SK Racers
2020,M1,1
2020,M2,1
2020,M3,1
2020,M5,1
2020,S,11
2020,U20,5
2021,S,1
2021,U20,2
2022,M1,1
2022,M3,1
2022,M5,2
2022,S,8
2022,U18,8
2022,U20,11
2023,M3,1
2023,M4,1
2023,M5,2
2023,M7,1
2023,S,4
2023,U14,3
2023,U16,7
2023,U18,14
2023,U20,8
2024,M1,2
2024,M2,1
2024,M4,1
2024,M5,2
2024,M7,2
2024,S,1
2024,U14,7
2024,U16,12
2024,U18,13
2024,U20,7
2025,M1,1
2025,M2,2
2025,M3,1
2025,M4,1
2025,M5,2
2025,M8,1
2025,M9,1
2025,S,2
2025,U12,1
2025,U14,13
2025,U16,12
2025,U18,13
2025,U20,8
